asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
312631,12.85,0.071,15.26,2.324,0.1044,317.79,0.3589,-12.03,4,50
312632,13.06,0.0777,16.45,2.358,0.1509,324.62,0.3085,-19.27,4,50
312633,13.42,0.0872,18.55,2.348,0.0165,355.9,0.2527,-13.29,4,5
312634,13.85,0.0904,18.9,2.388,0.0308,380.17,0.1097,-16.29,4,5
312635,14.07,0.0897,18.69,2.398,0.0333,384.36,0.044,-16.64,4,5
312636,14.02,0.1309,28.21,2.318,0.0384,183.86,0.0439,-27.15,4,50
312637,13.29,0.0557,11.8,2.359,0.1001,324.5,0.3245,-10.56,4,5
312638,13.28,0.0195,4.06,2.403,0.0371,340.91,0.2451,-6.3,4,5
312639,13.38,0.0527,11.1,2.369,0.0701,333.44,0.2969,-9.02,4,5
312640,13.39,0.1206,26.17,2.302,0.0161,378.25,0.2216,-21.67,4,5
312641,12.95,0.0762,16.05,2.371,0.1156,338.96,0.2724,-15.98,4,50
312642,13.44,0.0777,16.34,2.376,0.011,360.8,0.2106,-12.3,4,5
312643,13.22,0.0406,8.47,2.391,0.0788,335.71,0.2705,-8.79,4,5
312700,13.47,0.0964,20.54,2.344,0.126,341.84,0.2761,-21.24,4,50
312707,12.66,0.0883,19.05,2.313,0.0541,334.78,0.3295,-12.89,4,5
312716,13.33,0.063,14.07,2.235,0.0386,152.7,0.486,-3.72,4,50
312766,13.17,0.0454,9.59,2.363,0.051,330.31,0.3113,-7.14,4,5
312770,14.01,0.123,26.36,2.328,0.0348,118.76,0.093,-24.73,4,50
312773,13.52,0.0361,7.65,2.352,0.0857,317.02,0.3509,-7.03,4,5
312775,13.51,0.0869,18.19,2.386,0.0412,373.3,0.1483,-15.51,4,5
312778,12.81,0.0034,1.04,1.654,0.068,339.17,0.2399,-7.14,4,5
312779,13.17,0.0223,4.83,2.308,0.1223,290.72,0.431,-6.32,4,50
312782,13.08,0.0572,12.39,2.306,0.0703,308.01,0.3979,-7.05,4,5
312786,13.32,0.0708,14.84,2.385,0.0069,316.8,0.2053,-11.28,4,5
312787,12.97,0.0872,19.88,2.19,0.028,271.71,0.5114,-6.35,4,5
312788,13.5,0.0472,9.67,2.437,0.1085,350.16,0.1704,-13.24,4,5
312791,13.98,0.102,21.41,2.379,0.0372,390.29,0.0591,-19.38,4,5
312793,13.69,0.0754,15.52,2.428,0.0891,371.92,0.0602,-16.66,4,50
312796,13.81,0.0235,4.79,2.451,0.0458,234.79,0.0318,-8.71,4,50
312797,14.02,0.0717,14.75,2.427,0.0823,370.38,0.0743,-15.46,4,50
312798,14.18,0.0533,10.8,2.463,0.1204,359.64,0.0575,-16.17,4,5
312799,13.73,0.0411,8.42,2.439,0.0802,355.78,0.1396,-11.03,4,5
312801,13.94,0.0713,14.69,2.425,0.0623,373.21,0.0535,-14.5,4,5
312802,12.82,0.0424,9.06,2.335,0.0224,318.93,0.3612,-4.99,4,5
312803,13.5,0.0573,11.81,2.423,0.0831,356.67,0.1635,-12.7,4,5
312804,13.63,0.0526,10.81,2.43,0.0662,360.98,0.1288,-11.57,4,5
312805,13.72,0.0839,17.48,2.396,0.0315,376.28,0.1159,-14.97,4,5
312806,13.36,0.0568,11.76,2.411,0.0216,361.04,0.1614,-10.16,4,5
312807,13.5,0.0527,10.91,2.411,0.0045,190.86,0.1698,-9.42,4,5
312948,13.18,0.0956,20.53,2.326,0.0224,352.88,0.2777,-14.54,4,5
312955,14.19,0.0299,6.08,2.453,0.089,355.41,0.1113,-10.99,4,5
312961,13.78,0.054,11.11,2.427,0.0367,365.45,0.1063,-10.76,4,5
312962,14.05,0.0283,4.02,1.905,0.1937,339.72,0.0798,-21.73,4,50
313022,13.85,0.035,7.17,2.435,0.1052,345.53,0.1913,-11.5,4,5
313024,13.76,0.0755,15.68,2.405,0.0456,370.23,0.1304,-13.83,4,5
313142,13.44,0.123,26.95,2.281,0.0356,154.01,0.2635,-21.67,4,50
313303,13.53,0.1149,24.85,2.309,0.0222,371.38,0.2367,-19.92,4,5
